,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Race - Ethnicity,Sex,Level of Supervision,Recidivism - Prison Admission
57578,10.0,3.0,3.2,8,0,5.0,0
57579,1.0,4.0,4.1,8,0,5.0,0
57580,10.0,3.0,3.1,8,1,5.0,0
57581,1.0,2.0,2.2,8,1,5.0,0
57582,5.0,1.0,1.2,8,1,5.0,0
57583,5.0,3.0,3.3,8,1,5.0,0
57584,10.0,3.0,3.2,8,1,5.0,0
57585,1.0,3.0,3.1,8,0,5.0,0
57586,5.0,1.0,1.4,8,1,5.0,0
57587,10.0,1.0,1.2,8,1,5.0,0
57588,5.0,3.0,3.2,8,1,5.0,0
57589,2.0,2.0,2.3,8,1,5.0,0
57590,2.0,2.0,2.3,8,1,5.0,0
57591,1.0,1.0,1.6,8,1,5.0,0
57592,1.0,2.0,2.3,8,0,5.0,0
57593,5.0,3.0,3.2,8,1,5.0,0
57594,1.0,3.0,3.1,8,1,5.0,0
57595,10.0,4.0,4.3,8,0,5.0,0
57596,1.0,2.0,2.3,8,0,5.0,0
57597,1.0,2.0,2.3,8,1,5.0,0
57598,5.0,1.0,1.2,8,0,5.0,0
57599,1.0,2.0,2.3,8,0,5.0,0
57600,2.0,1.0,1.1,8,0,5.0,0
57601,2.0,1.0,1.1,8,1,5.0,0
57602,1.0,3.0,3.1,8,1,5.0,0
57603,2.0,2.0,2.3,8,1,5.0,0
57604,2.0,2.0,2.1,8,1,5.0,0
57605,1.0,2.0,2.3,8,0,5.0,0
57606,1.0,2.0,2.2,8,1,5.0,0
57607,1.0,2.0,2.3,8,1,5.0,0
57608,2.0,2.0,2.2,8,1,5.0,0
57609,2.0,2.0,2.3,8,1,5.0,0
57610,2.0,2.0,2.1,8,1,5.0,0
57611,2.0,1.0,1.1,8,1,5.0,0
57612,5.0,4.0,4.5,8,1,5.0,0
57613,2.0,2.0,2.3,8,1,5.0,0
57614,1.0,2.0,2.3,8,1,5.0,0
57615,1.0,2.0,2.3,8,0,5.0,0
57616,1.0,3.0,3.1,8,1,5.0,0
57617,1.0,3.0,3.1,8,0,5.0,0
57618,0.1,4.0,4.1,8,0,5.0,0
57619,2.0,1.0,1.2,8,1,5.0,0
57620,1.0,2.0,2.1,8,1,5.0,0
57621,1.0,2.0,2.3,8,1,5.0,0
57622,1.0,3.0,3.1,8,0,5.0,0
57623,2.0,4.0,4.3,8,0,5.0,0
57624,1.0,2.0,2.3,8,1,5.0,0
57625,1.0,2.0,2.3,8,1,5.0,0
57626,2.0,2.0,2.3,8,1,5.0,0
57627,5.0,2.0,2.3,8,0,5.0,0
57628,2.0,4.0,4.1,8,1,5.0,0
57629,1.0,2.0,2.3,8,1,5.0,0
57630,2.0,2.0,2.1,8,1,5.0,0
57631,5.0,5.0,4.3,8,1,5.0,0
57632,2.0,2.0,2.3,8,1,5.0,0
57633,2.0,2.0,2.3,8,0,5.0,0
57634,1.0,4.0,4.1,8,1,5.0,0
57635,2.0,2.0,2.3,8,1,5.0,0
57636,1.0,2.0,2.3,8,1,5.0,0
57637,2.0,2.0,2.3,8,1,5.0,0
57638,2.0,4.0,4.3,8,1,5.0,0
57639,2.0,2.0,2.3,8,1,5.0,0
57640,1.0,3.0,3.1,8,1,5.0,0
57641,5.0,3.0,3.2,8,1,5.0,0
57642,1.0,4.0,4.1,8,0,5.0,0
57643,2.0,2.0,2.7,8,0,5.0,0
57644,10.0,1.0,1.4,8,1,5.0,0
57645,1.0,3.0,3.1,8,1,5.0,0
57646,1.0,2.0,2.3,8,1,5.0,0
57647,1.0,1.0,1.1,8,0,5.0,0
57648,2.0,2.0,2.3,8,1,5.0,0
57649,2.0,2.0,2.3,8,0,5.0,0
57650,2.0,2.0,2.3,8,1,5.0,0
57651,1.0,2.0,2.3,8,1,5.0,0
57652,1.0,2.0,2.3,8,0,5.0,0
57653,0.1,1.0,1.1,8,0,5.0,0
57654,10.0,3.0,3.2,8,1,5.0,0
57655,5.0,3.0,3.2,8,0,5.0,0
57656,2.0,2.0,2.2,8,0,5.0,0
57657,1.0,4.0,4.1,8,0,5.0,0
57658,2.0,2.0,2.3,8,1,5.0,0
57659,1.0,2.0,2.3,8,1,5.0,0
57660,2.0,2.0,2.3,8,0,5.0,0
57661,1.0,2.0,2.3,8,1,5.0,0
57662,1.0,2.0,2.3,8,1,5.0,0
57663,2.0,2.0,2.3,8,1,5.0,0
57664,2.0,2.0,2.3,8,1,5.0,0
57665,1.0,3.0,3.1,8,1,5.0,0
57666,10.0,4.0,4.3,8,0,5.0,0
57667,5.0,3.0,3.3,8,0,5.0,0
57668,1.0,3.0,3.1,8,1,5.0,0
57669,5.0,3.0,3.2,8,1,5.0,0
57670,5.0,1.0,1.1,8,1,5.0,0
57671,2.0,3.0,3.2,8,1,5.0,0
